id,name,username,email,phone,suite,city,zipcode,lat,lon
1,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,Apt. 556,Gwenborough,92998-3874,-37.3159,81.1496
2,Ervin Howell,Antonette,Shanna@melissa.tv,010-692-6593 x09125,Suite 879,Wisokyburgh,90566-7771,-43.9509,-34.4618
3,Clementine Bauch,Samantha,Nathan@yesenia.net,1-463-123-4447,Suite 847,McKenziehaven,59590-4157,-68.6102,-47.0653
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,493-170-9623 x156,Apt. 692,South Elvis,53919-4257,29.4572,-164.2990
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,Suite 351,Roscoeview,33263,-31.8129,62.5342
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,1-477-935-8478 x6430,Apt. 950,South Christy,23505-1337,-71.4197,71.7478
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,210.067.6132,Suite 280,Howemouth,58804-1099,24.8918,21.8984
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,586.493.6943 x140,Suite 729,Aliyaview,45169,-14.3990,-120.7677
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,(775)976-6794 x41206,Suite 449,Bartholomebury,76495-3109,24.6463,-168.8889
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,024-648-3804,Suite 198,Lebsackbury,31428-2261,-38.2386,57.2232
